Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-12-23,ZUARI,EQ,151.75,150.0,151.15,140.4,140.5,141.65,145.53,122716,1785923485000.0002,3654,66652,0.5431
2022-12-26,ZUARI,EQ,141.65,140.0,149.7,138.95,148.35,149.0,146.33,86081,1259640375000.0,2914,41148,0.478
2022-12-27,ZUARI,EQ,149.0,149.1,154.0,148.55,152.2,153.1,151.92,68739,1044285519999.9999,2289,20074,0.292
2022-12-28,ZUARI,EQ,153.1,153.8,163.7,151.55,159.45,160.5,160.43,287867,4618313280000.0,6214,78656,0.2732
2022-12-29,ZUARI,EQ,160.5,160.9,175.95,158.15,166.3,165.95,169.39,1009347,17097472405000.002,15668,238694,0.2365
