Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,SAR
2022-12-19,SBIN,EQ,603.35,604.0,609.5,603.0,605.5,604.45,605.78,8322012,504126836425000.0,149442,3777196,0.4539,629.55
2022-12-20,SBIN,EQ,604.45,603.0,606.5,599.55,605.3,604.45,602.65,6753785,407015475150000.0,128701,2274446,0.3368,629.001
2022-12-21,SBIN,EQ,604.45,605.9,609.15,589.6,594.3,593.4,599.66,9217253,552719568850000.0,145768,3522227,0.3821,627.82296
2022-12-22,SBIN,EQ,593.4,597.0,599.0,587.55,592.0,593.4,592.49,8740149,517843745655000.0,136417,2637879,0.3018,625.5295824
2022-12-23,SBIN,EQ,593.4,590.0,590.7,571.5,573.1,574.0,579.55,13047046,756143112575000.0,226901,5930199,0.4545,622.491215808
